Category_name,prodtype,#Website_link,Page_type,VMID,ID,Name,Short_description,Description,rxcode,first_paragraph,features,@image,sizes_dia,size_min,size_max,max_pressure,temp_min,temp_max,operation,connection,material,materialsu,sterilizable,shore_hardness,leak_resistance,flowrate_min,flowrate_max
"Angle seat valves",SS,https://romynox.nl/vfa-aerre-inox-tank-bottom-mini-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,187,4036,"AERRE INOX - VAA Tank bottom valve","Tank Bottom Valve for smaller vessels","The valve housing and the piping connections are self draining without dead-legs. The outlet connection is flush to the diaphragm to minimize hold-up volume, the standard outlet connection on the valve body is furnished on a 45° angle to the horizontal with an ASME-BPE ferrule. 45° angle outlet facilitate the ease of fit-up and permit using standard tubing to connect. All moving parts in the actuator are completely isolated from contact with the process.","NBA ","The new VFA mini Tank Bottom valves ""flush wall execution"" with TFM 1705 PTFE radial diaphragm for to solve all your installation problems on the smaller vessels.","Fully draining RXBLLTMinimized dead leg RXBLLTCompact body RXBLLTSmall welding pad RXBLLTCIP/SIP cleanable/sterilizable RXBLLTNo product entrapment RXBLLTMinimized diaphragms stress RXBLLTMore reliability and lifespan RXBLLTSimple and fast maintenance RXBLLTCertified materials for Pharmaceutical use RXBLLTFull traceability",/product-images/ar_vaa-075_tank_bottom_hand.jpg,,1/2,3/4,6,-10,150,"Actuator, Manual","Flange, Tri-Clamp, Orbital welding connection","316L (1.4404)",,,,,,
"Angle seat valves",SS,https://romynox.nl/vfa-aerre-inox-tank-bottom-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,21,4039,"AERRE INOX - VAF Tank bottom valve","Diaphragm valve designed as Tank Bottom Valve","The valve housing and the piping connections are self draining without dead-legs. The outlet connection is flush to the diaphragm to minimize hold-up volume, the standard outlet connection on the valve body is furnished on a 45° angle to the horizontal with an ASME-BPE ferrule, other optional end connections upon request include ISO/DIN connections. 45° angle outlet facilitates the ease of fit-up and permits using standard tubing to connect. All moving parts in the actuator are completely isolated from contact with the process.","NVF - MBA - NVK - NVR ","The Tank Bottom VFA 10º has a 10º vertical offset which enhances drainability while minimizing the internal sump within the vessel.","Smooth inlet cone open to the turbolence of mixing RXBLLTMinimized dead leg RXBLLTCompact body RXBLLTNo product entrapment RXBLLTMinimized diaphragm'?s stress, more reliability and lifespan RXBLLTSimple and fast maintenance RXBLLTCertified materials for Pharmaceutical use RXBLLTFull traceability",/product-images/Aerre_Inox_Tankb_4f4510816f9e1.jpg,,3/4,4,10,-80,200,"Actuator, Manual","Flange, Tri-Clamp, Orbital welding connection","316L (1.4404)",,,,,,
"Angle seat valves",SS,https://romynox.nl/val-aerre-inox-angle-seat-valve-as-tank-inlet-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,26,4011,"AERRE INOX - VAL In-Line Angle Seat Valve","In-line aseptic valve L type as Tank inlet Valve","Beacause of this the tank is easy to clean.","NVL ","The seat on this type of Angle Seat Valve of Aerre Inox comes very close to the wall of the tank, which makes it ideal as tank inlet valve.","Fully draining RXBLLTMinimized dead leg RXBLLTCompact body RXBLLTCIP/SIP cleanable/sterilizable RXBLLTNo product entrapment RXBLLTMinimized diaphragm?s stress RXBLLTMore reliability and lifespan RXBLLTSimple and fast maintenance RXBLLTCertified materials for Pharmaceutical use RXBLLTFull traceability",/product-images/Aerre_Inox_angle_4f450f92b8373.jpg,,1,4,,,,"Actuator, Manual","Flange, Tri-Clamp, Orbital welding connection","316L (1.4404)",,,,,,
"Ball valves > ADCA Ball valves",SS,https://romynox.nl/adca-ps161-angle-pressure-sustaining?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,1363,31084,"ADCA ? PS161 Angle Pressure sustaining","Min/max upstream pressure: 0,8 bar/ 8bar","These regulators, available with spring or dome-loading, are designed for use with clean steam, compressed air, water, and other gases or liquids compatible with construction materials and valve design. The regulators are designed to control the pressure of the medium in the system, ensuring that it stays within a safe range for all components of the system. They help to protect the system from over or under-pressurization, which could damage the components and lead to system failure. Application : Clean steam, compressed air, water and other gases and liquids compatible with the construction.    Standard surface finish: Internal wetted parts: ? 0,51 micron Ra ? SF1. External: ? 0,76 micron Ra ? SF3. Other surface conditions see IS PV20.00 E ? . Ultrasonic cleaning Installation : Horizontal installation. Horizontal inlet and vertical outlet. See IMI ? Installation and maintenance instructions.    ","RAN ","The ADCAPure PS161 is a series of angle design direct acting diaphragm sensing pressure sustaining valves.","Spring or dome-loaded. RXBLLT<span data-issueid=""c44d9e08-d153-49f3-b0ba-22b6eb5194c3"" data-testid=""issue-underline:· Non-rising"">Non-rising</span> adjustment knob. <li data-private=""redact"" data-wt-guid=""0d6bb926-6b92-4f48-b0a7-6300deea90a5""><span data-issueid=""a35c2b4f-9f52-4d95-a351-73f0de4b4240"" data-testid=""issue-underline:· Compact""> Compact</span> design with a clamped body. <li data-private=""redact"" data-wt-guid=""7f1562f3-b9ba-48fe-90d8-d8b012b5517f""><span data-issueid=""01b8ce24-c66e-41a0-a21a-5e9cbacd537b"" data-testid=""issue-underline:· Available""> Available</span> with low pressure diaphragm. <li data-private=""redact"" data-wt-guid=""ff5ebabd-b1cd-4e7e-ab91-745ccda85dcc""><span data-issueid=""a04c3a9e-49d7-4715-8597-bc292c2f4c21"" data-testid=""issue-underline:· FDA""> FDA</span> / USP Class VI compliant seals. <li data-private=""redact"" data-wt-guid=""594cc6f7-b03b-478b-b6a8-173ea790ec37""><span data-issueid=""2df0f30b-ca0b-4f3d-9de6-84801057d249"" data-testid=""issue-underline:· Completely""> Completely</span> machined from bar stock material. No castings or forgings are used.","/product-images/SANITARY PRESSURE SUSTAINING VALVE inside.jpg",,,,,,,,,,,,,,,
"Ball valves > ADCA Ball valves",SS,https://romynox.nl/adca-m3h-2-way-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,545,30250,"ADCA - M3H ASME 2-way ball valve","Casting True Bore Ball valves","The product is mainly designed for the (bio) pharmaceutical industry.The valve is not designed as a control valve and should only be used as an isolating valve, fully open or fully closed.","KAB ","M3H three pieces body ball valves are open/close valves designed for use with clean steam, condensate, other gases and liquids applied in high purity and aseptic processes.","Loose body flanges make it possible to install the valve without aligning of welded end connections RXBLLTAfter installation the valve can rotate on 360º for the desired orientation",/product-images/adca_m3h_ball_valve_25_tc_las.jpg,,1/2,4,100,-29,200,"Actuator, Manual","Butt Weld, Tri-Clamp","316L (1.4404)",,,,,,
"Ball valves > ADCA Ball valves",SS,https://romynox.nl/m3h-din-adca-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,546,3052,"ADCA - M3H DIN 2-ways ball valve","Casting True Bore Ball valves","The product is mainly designed for the (bio)pharmaceutical industry.","KAB ","M3HP three piece body ball valves are isolating valves designed for use with clean steam, condensate and other gases and liquids used in high purity and aseptic processes.","Designed for use with clean steam RXBLLTCondensate and other liquids and gases RXBLLTMainly suitable for sanitary and hygienic applications RXBLLTSuitable for use with a manual lever handles",/product-images/adca_m3h_ball_valve_25_tc_las.jpg,,3/8,4,100,-29,200,"Actuator, Manual","Butt Weld, Tri-Clamp","316L (1.4404)",,,,,,
"Ball valves > ADCA Ball valves",SS,https://romynox.nl/adca-m3hp-2-way-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,543,30276,"ADCA - M3HP 2-way ball valve","High Purity Ball Valves","The product is mainly designed for the (bio)pharmaceutical industry.","KAA ","M3HP three piece body ball valves are isolating valves designed for use with clean steam, condensate and other gases and liquids used in high purity and aseptic processes.","Not designed as a control valve RXBLLTShould only be used as an isolating valve RXBLLTFully open or fully closed RXBLLTCompletely made from solid bar stock material. RXBLLTCan be serviced without removal from pipeline RXBLLTTrue bore floating ball design.",/product-images/adca_m3hp_ball_valve_tc_tc.jpg,,1/2,6,100,-29,200,"Actuator, Manual","Butt Weld, Tri-Clamp","316L (1.4404)",,,,,,
"Ball valves > ADCA Ball valves",SS,https://romynox.nl/m3hp-din-adca-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,544,3062,"ADCA - M3HP DIN Ball Valve","High Purity Ball Valves","M3HP three piece body ball valves are isolating valves designed for use with clean steam, condensate and other gases and liquids used in high purity and aseptic processes. The product is mainly designed for the (bio)pharmaceutical industry.","KAA ","M3HP three piece body ball valves are isolating valves designed for use with clean steam, condensate and other gases and liquids used in high purity and aseptic processes. The product is mainly designed for the (bio)pharmaceutical industry.","Not designed as a control valve RXBLLTShould only be usedas an isolating valve RXBLLTFully open or fully closed RXBLLTCompletely made from solid bar stock material RXBLLTCan be serviced without removal from pipeline RXBLLTTrue bore floating ball design",/product-images/adca_m3hp_ball_valve_tc_tc.jpg,,3/8,6,100,-29,200,"Actuator, Manual","Butt Weld, Tri-Clamp","316L (1.4404)",,,,,,
"Ball valves > Aerre Inox Ball valves",SS,https://romynox.nl/vs3v-aerre-inox-three-way-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,554,4068,"AERRE INOX - VS3V 3-way Ball Valve","3-Way True Bore Ball valve","They can also be used as an input selector where a single outlet port is fed the flow from one of the other two ports as the supply inlet. The bore through the ball (ball drilling) comes in two varieties, ""L"" and ""T"".","KAP ","Three way ball valves have 3 ports. They can be used as diverter valves, where flow a single inlet is diverted to either of the two other ports as the outlet.","ISO5211 RXBLLTFlange for pneumatic actuator RXBLLTSurface Finish: Glossy RXBLLTKF connection on request",/product-images/ar_vs3v_three_ways_ball_valves.jpg,,1/2,4,40,-20,160,"Actuator, Manual",Tri-Clamp,"316L (1.4404)",,,,,,
"Ball valves > Aerre Inox Ball valves",SS,https://romynox.nl/vss-aerre-inox-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,391,4073,"AERRE INOX - VSS Ball Valve","High Purity Ball Valves","The three pieces of the ball valve are machined from solid round bar in AISI 316L (1.4404 - 1.4435) and puts quality and reliability into your process. The VSS ball valves are a full bore / full port design according to ASTM A 269 dimensions. The tube-ID port opening is dimensionally identical to the adiacent tubing to comply with ASME-BPE Guidelines. Full bore / full port design minimizes line turbolence and pressure drop.","KAN ","The VSS ball valves are engineered to be a true process piping component to specifically meet the demanding processes found in pharmaceutical industries.","Solid round bar 316L RXBLLTCavity filled seat TFM PTFE for high purity apllications (not steam) RXBLLTTFM PTFE for steam service RXBLLTFull traceability by marks on the valve body",/product-images/ar-vss_ball_valve.jpg,,1/2,4,30,-10,150,"Actuator, Manual","Butt Weld, Tri-Clamp, Orbital welding connection","316L (1.4404)",,,,,,
"Ball valves > Meca-Inox Ball valves",SS,https://romynox.nl/pz4-v-ball-meca-inox-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,102,3323,"MECA-INOX - Body PZ4 V-ball Ball valve","V-ball valve as control valve in industrial flow control and monitoring","This PZ4 V-ball valve works perfect as a control valve in industrial flow control and monitoring. The V-Ball concept completes the PS4 range of three-piece ball valves: flow variation according to the opening angle (type V60 = 60º, type V30 - 30º), enebaling a gradual, controlled flow to be obtained. Completed with a pneumatic actuator and positioner (for opening angle adjustment). This product is compact and inexpensive compared to classic globe valves.","KB3 ","Very suitable for chemical processes but also in cryogenic, pharmaceutical and food industry.","Flow variation according to the opening angle, enabling a gradual, controlled flow RXBLLTCompact RXBLLTUp to 280 degrees",/product-images/mi_pz4_v_ball_valve.jpg,,1/2,2,100,-50,280,"Actuator, Manual","Butt Weld, Tri-Clamp, Orbital welding connection, Threaded","316L (1.4404)",,,,,,
"Ball valves > Meca-Inox Ball valves",SS,https://romynox.nl/pn4-meca-inox-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,1,3265,"MECA-INOX - PN4 Ball valve","Ball valve for pure gasses and clean steam","'True Bore' or 'full bore' guarantees no dead leg between the pipe, the fittings and the ball. Suitable for pigging system. Perfect for clean steam or other clean gasses.","KEA ","Ball valve of MECA-INOX for high purity use. Eeasily cleanable and does not generate any contamination or moisture because of it's polished Ra 0,4 µM.","Perfect for clean steam or other clean gasses. RXBLLTEeasily cleanable RXBLLTNo dead leg ",/product-images/MECA-INOX-KOGELKRAAN-PN4.jpg,,1/4,6,100,-50,190,,"Butt Weld, Tri-Clamp, Orbital welding connection, Threaded","316L (1.4435)",,,,,,
"Ball valves > Meca-Inox Ball valves",SS,https://romynox.nl/ps4-3-way-meca-inox-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,8,3297,"MECA-INOX - PS4 3-way Ball valve","Stainless steel 3-way ball valve","Horizontal L-port (diverting flow) or T-port (diverting flow or mixing) or vertical L-port (diverting flow or flow stop). The valve is suitable for general use.","KYJ ","This is a special 3-way version of the PS4 Meca-Inox ball valve.","Special 3-way version of the cryogenic ball valve PS4 RXBLLTFor general use",/product-images/Meca_Inox_3_way_4f1558a38f0bd.jpg,,3/8,4,100,-50,190,,"Butt Weld, Tri-Clamp, Orbital welding connection, Threaded","316 (1.4409)",,,,,,
"Ball valves > Meca-Inox Ball valves",SS,https://romynox.nl/ps4-meca-inox-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,2,3301,"MECA-INOX - PS4 Ball valve","Stainless Steel Ball valve for general use","The PS4 is modular build with various control levers and actuators. No USP Class VI 121 ºC certificate.","KJA ","The PS4 has some distinctive features, such as the unique concept of Meca-Inox with revolving connection component, which makes installation quick and easy.","Installation quick and easy RXBLLTModular build RXBLLTBuilt-in body seals to guarantee internal/external tightness RXBLLTSeats profiles designed for upstream/downstream sealing RXBLLTSeats elasticity to absorb pressure stress RXBLLTProgressive bearing to optimize operating torques RXBLLTRuff to avoid the seat to be taken away when upstream pressure is higher than downstream pressure",/product-images/ps4_bw5.jpg,,1/4,6,100,-50,190,,"Butt Weld, Tri-Clamp, Orbital welding connection, Threaded","316L (1.4404)",,,,,,
"Ball valves > Meca-Inox Ball valves",SS,https://romynox.nl/ps4-b4-meca-inox-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,622,3305,"MECA-INOX - PS4-B4 Ball valve","Stainless steel ball valve for industrial use","The PS4-B4 has some distinctive features, such as the unique concept of Meca-Inox with revolving connection component, which makes installation quick and easy. The PS4 is modular build with various control levers and actuators.","KLA ","Meca-Inox delivers type PS4-B4 stainless steel ball valve for general applications where flanged connection is preferred above the standard weld-connection. The B4 connection is also possible on the other ball valves such as PY4CY and PZ4.","Flanged connection RXBLLTInstallation quick and easy RXBLLTFor industrial use",/product-images/ps4-b4-600x600.jpg,,1/2,8,40,-50,190,,Flange,"316 (1.4409)",,,,,,
"Ball valves > Meca-Inox Ball valves",SS,https://romynox.nl/py4-cryogenic-meca-inox-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,7,3315,"MECA-INOX - PY4CY Cryogenic Ball valve","Stainless steel ball valve for light cryogenic use (-50ºC)","The PY4 has some distinctive features, such as the unique concept of Meca-Inox with revolving connection component, which makes installation quick and easy. The PY4 is modular build with various control levers and actuators.","KYA ","Meca-Inox delivers the PY4 stainless steel ball valve type for light cryogenic use (-50ºC).","for light cryogenis use RXBLLTinstallation quick and easy RXBLLTmodular build",/product-images/ps4_bw.jpg,,1/4,5,100,-50,190,,"Butt Weld, Tri-Clamp, Orbital welding connection, Threaded","316L (1.4404)",,,,,,
"Ball valves > Meca-Inox Ball valves",SS,https://romynox.nl/pz4-meca-inox-ball-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,3,3318,"MECA-INOX - PZ4 Ball valve","Stainless steel 2-way ball valve (280°C)","The PZ4 has some distinctive features, such as the unique concept of Meca-Inox with revolving connection component, which make installation quick and easy. The PZ4 is modular build with various control levers and actuators.","KZA ","Standard three-piece ball valve for general use with high temperatures up to 280°C.","High temperatures up to 280°C RXBLLTBody seat is made of 20% PEEK PTFE RXBLLTVarious control levers and actuators",/product-images/ps4_bw6.jpg,,1/4,8,100,-50,280,"Actuator, Manual","Butt Weld, Tri-Clamp, Orbital welding connection, Threaded","316L (1.4404)",,,,,,
"Ball valves > Meca-Inox Ball valves",SS,https://romynox.nl/meca-inox-manual-operation?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,11,3156,"MECA-INOX Manual Operation","Several options for manual operation","for example: Sizes: DN 10  to DN 150 Stainless steel handles Extended handles Stem extended handles Hand wheels Gear boxes For the whole range please download the specification file. click here, you will see our whole range of Meca-inox products and accessoires. If you have questions, please contact us.","KX2 ","there are several options for manual operation from MECA-INOX","Stainless steel handles RXBLLTExtended handles RXBLLTStem extended handles RXBLLTHand wheels RXBLLTGear boxes  ",/product-images/Meca_Inox_option_4f155b07b48d7.jpg,,,,,,,,,,,,,,,
"Ball valves > Meca-Inox Ball valves",SS,https://romynox.nl/meca-inox-spare-parts?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,12,3159,"MECA-INOX Spare Parts","Different sizes, shapes and materials","For example: Seats and seals Stainless steel stem and ball Actuation spare kit springs For more information, please download the PDF file or contact Romynox.","TMB - KJX - KZX ","A wide range of spare parts is available for a large number of products and applications in different sizes, shapes and materials. the simple maintenance of the seal is one of many good features of the meca-inox valve ","simple maintenance of the seals",/product-images/Meca_Inox_spare__4f155bff259b2.jpg,,,,,,,,,,,,,,,
